Label,Tweet,length,Case_folded,Tokenized,Stemmed,No_Slang,No_Stop,Ready,prediction
0,  rekaman cctv rizki billar melempar bola billiard ke lesti kejora namun aksi nya gagal karena rizky terpeleset kdrizkybillar banjir txtinjakarta,145,rekaman cctv rizki billar melempar bola billiard ke lesti kejora namun aksi nya gagal karena rizky terpeleset kdrizkybillar banjir txtinjakarta,"['rekaman', 'cctv', 'rizki', 'billar', 'melempar', 'bola', 'billiard', 'ke', 'lesti', 'kejora', 'namun', 'aksi', 'nya', 'gagal', 'karena', 'rizky', 'terpeleset', 'kdrizkybillar', 'banjir', 'txtinjakarta']","['rekam', 'cctv', 'rizki', 'billar', 'lempar', 'bola', 'billiard', 'ke', 'lesti', 'kejora', 'namun', 'aksi', 'nya', 'gagal', 'karena', 'rizky', 'peleset', 'kdrizkybillar', 'banjir', 'txtinjakarta']","['rekam', 'cctv', 'rizki', 'billar', 'lempar', 'bola', 'billiard', 'ke', 'lesti', 'kejora', 'namun', 'aksi', 'nya', 'gagal', 'karena', 'rizky', 'peleset', 'kdrizkybillar', 'banjir', 'txtinjakarta']","['rekam', 'cctv', 'rizki', 'billar', 'lempar', 'bola', 'billiard', 'lesti', 'kejora', 'aksi', 'nya', 'gagal', 'rizky', 'peleset', 'kdrizkybillar', 'banjir', 'txtinjakarta']",rekam cctv rizki billar lempar bola billiard lesti kejora aksi nya gagal rizky peleset kdrizkybillar banjir txtinjakarta,Non_HS
0,  bukan sekali saja ini video bukti kdrizky billar saat lesti kejora sedang hamil kdlestikejora rizkybillar,107,bukan sekali saja ini video bukti kdrizky billar saat lesti kejora sedang hamil kdlestikejora rizkybillar,"['bukan', 'sekali', 'saja', 'ini', 'video', 'bukti', 'kdrizky', 'billar', 'saat', 'lesti', 'kejora', 'sedang', 'hamil', 'kdlestikejora', 'rizkybillar']","['bukan', 'sekali', 'saja', 'ini', 'video', 'bukti', 'kdrizky', 'billar', 'saat', 'lesti', 'kejora', 'sedang', 'hamil', 'kdlestikejora', 'rizkybillar']","['bukan', 'sekali', 'saja', 'ini', 'video', 'bukti', 'kdrizky', 'billar', 'saat', 'lesti', 'kejora', 'sedang', 'hamil', 'kdlestikejora', 'rizkybillar']","['video', 'bukti', 'kdrizky', 'billar', 'lesti', 'kejora', 'hamil', 'kdlestikejora', 'rizkybillar']",video bukti kdrizky billar lesti kejora hamil kdlestikejora rizkybillar,Non_HS
0,  kasus prank kdyang dilakukan baim wong dan paula verhoeven terus diikuti dengan buntut yang panjang kali ini pegawai baim wong yaitu supir dan kameramen diperiksa oleh polisi baimwong kd indonesia artis,204,kasus prank kdyang dilakukan baim wong dan paula verhoeven terus diikuti dengan buntut yang panjang kali ini pegawai baim wong yaitu supir dan kameramen diperiksa oleh polisi baimwong kd indonesia artis,"['kasus', 'prank', 'kdyang', 'dilakukan', 'baim', 'wong', 'dan', 'paula', 'verhoeven', 'terus', 'diikuti', 'dengan', 'buntut', 'yang', 'panjang', 'kali', 'ini', 'pegawai', 'baim', 'wong', 'yaitu', 'supir', 'dan', 'kameramen', 'diperiksa', 'oleh', 'polisi', 'baimwong', 'kd', 'indonesia', 'artis']","['kasus', 'prank', 'kdyang', 'laku', 'baim', 'wong', 'dan', 'paula', 'verhoeven', 'terus', 'ikut', 'dengan', 'buntut', 'yang', 'panjang', 'kali', 'ini', 'pegawai', 'baim', 'wong', 'yaitu', 'supir', 'dan', 'kameramen', 'periksa', 'oleh', 'polisi', 'baimwong', 'kd', 'indonesia', 'artis']","['kasus', 'prank', 'kdyang', 'laku', 'baim', 'wong', 'dan', 'paula', 'verhoeven', 'terus', 'ikut', 'dengan', 'buntut', 'yang', 'panjang', 'kali', 'ini', 'pegawai', 'baim', 'wong', 'yaitu', 'supir', 'dan', 'kameramen', 'periksa', 'oleh', 'polisi', 'baimwong', 'kd', 'indonesia', 'artis']","['prank', 'kdyang', 'laku', 'baim', 'paula', 'verhoeven', 'buntut', 'kali', 'pegawai', 'baim', 'supir', 'kameramen', 'periksa', 'polisi', 'baimwong', 'kd', 'indonesia', 'artis']",prank kdyang laku baim paula verhoeven buntut kali pegawai baim supir kameramen periksa polisi baimwong kd indonesia artis,Non_HS
0,  menurut kasandra putranto psikolog dari ui menjelaskan bahwa kdpada umumnya terjadi akibat keinginan salah satu pasangan untuk mendapatkan kekuasaan dan kendali atas suami atau istri merahputihcom kdkesehatanmental worldmentalhealthday,237,menurut kasandra putranto psikolog dari ui menjelaskan bahwa kdpada umumnya terjadi akibat keinginan salah satu pasangan untuk mendapatkan kekuasaan dan kendali atas suami atau istri merahputihcom kdkesehatanmental worldmentalhealthday,"['menurut', 'kasandra', 'putranto', 'psikolog', 'dari', 'ui', 'menjelaskan', 'bahwa', 'kdpada', 'umumnya', 'terjadi', 'akibat', 'keinginan', 'salah', 'satu', 'pasangan', 'untuk', 'mendapatkan', 'kekuasaan', 'dan', 'kendali', 'atas', 'suami', 'atau', 'istri', 'merahputihcom', 'kdkesehatanmental', 'worldmentalhealthday']","['turut', 'kasandra', 'putranto', 'psikolog', 'dari', 'ui', 'jelas', 'bahwa', 'kdpada', 'umum', 'jadi', 'akibat', 'ingin', 'salah', 'satu', 'pasang', 'untuk', 'dapat', 'kuasa', 'dan', 'kendali', 'atas', 'suami', 'atau', 'istri', 'merahputihcom', 'kdkesehatanmental', 'worldmentalhealthday']","['turut', 'kasandra', 'putranto', 'psikolog', 'dari', 'ui', 'jelas', 'bahwa', 'kdpada', 'umum', 'jadi', 'akibat', 'ingin', 'salah', 'satu', 'pasang', 'untuk', 'dapat', 'kuasa', 'dan', 'kendali', 'atas', 'suami', 'atau', 'istri', 'merahputihcom', 'kdkesehatanmental', 'worldmentalhealthday']","['kasandra', 'putranto', 'psikolog', 'ui', 'kdpada', 'akibat', 'salah', 'pasang', 'kuasa', 'kendali', 'suami', 'istri', 'merahputihcom', 'kdkesehatanmental', 'worldmentalhealthday']",kasandra putranto psikolog ui kdpada akibat salah pasang kuasa kendali suami istri merahputihcom kdkesehatanmental worldmentalhealthday,Non_HS
0,  soal prank kdrt kameramen baim wong dicecar pertanyaan baimwong paulaverhoeven pemeriksaanbaimwong kdrt,105,soal prank kdrt kameramen baim wong dicecar pertanyaan baimwong paulaverhoeven pemeriksaanbaimwong kdrt,"['soal', 'prank', 'kdrt', 'kameramen', 'baim', 'wong', 'dicecar', 'pertanyaan', 'baimwong', 'paulaverhoeven', 'pemeriksaanbaimwong', 'kdrt']","['soal', 'prank', 'kdrt', 'kameramen', 'baim', 'wong', 'cecar', 'tanya', 'baimwong', 'paulaverhoeven', 'pemeriksaanbaimwong', 'kdrt']","['soal', 'prank', 'kdrt', 'kameramen', 'baim', 'wong', 'cecar', 'tanya', 'baimwong', 'paulaverhoeven', 'pemeriksaanbaimwong', 'kdrt']","['prank', 'kdrt', 'kameramen', 'baim', 'cecar', 'baimwong', 'paulaverhoeven', 'pemeriksaanbaimwong', 'kdrt']",prank kdrt kameramen baim cecar baimwong paulaverhoeven pemeriksaanbaimwong kdrt,Non_HS
0,  rizky billar pernah mengontrak di apartemennya ii dahlia tak menyangka bisa kd kdlestikejora pasanganselebritis rizkybillar,125,rizky billar pernah mengontrak di apartemennya ii dahlia tak menyangka bisa kd kdlestikejora pasanganselebritis rizkybillar,"['rizky', 'billar', 'pernah', 'mengontrak', 'di', 'apartemennya', 'ii', 'dahlia', 'tak', 'menyangka', 'bisa', 'kd', 'kdlestikejora', 'pasanganselebritis', 'rizkybillar']","['rizky', 'billar', 'pernah', 'kontrak', 'di', 'apartemen', 'ii', 'dahlia', 'tak', 'sangka', 'bisa', 'kd', 'kdlestikejora', 'pasanganselebritis', 'rizkybillar']","['rizky', 'billar', 'pernah', 'kontrak', 'di', 'apartemen', 'ii', 'dahlia', 'tak', 'sangka', 'bisa', 'kd', 'kdlestikejora', 'pasanganselebritis', 'rizkybillar']","['rizky', 'billar', 'kontrak', 'apartemen', 'ii', 'dahlia', 'sangka', 'kd', 'kdlestikejora', 'pasanganselebritis', 'rizkybillar']",rizky billar kontrak apartemen ii dahlia sangka kd kdlestikejora pasanganselebritis rizkybillar,Non_HS
0,  nasib rizky billar dalam kasus kdtinggal selangkah lagi begini kata polisi rizkybillar lestikejora kdcctv,107,nasib rizky billar dalam kasus kdtinggal selangkah lagi begini kata polisi rizkybillar lestikejora kdcctv,"['nasib', 'rizky', 'billar', 'dalam', 'kasus', 'kdtinggal', 'selangkah', 'lagi', 'begini', 'kata', 'polisi', 'rizkybillar', 'lestikejora', 'kdcctv']","['nasib', 'rizky', 'billar', 'dalam', 'kasus', 'kdtinggal', 'selang', 'lagi', 'begini', 'kata', 'polisi', 'rizkybillar', 'lestikejora', 'kdcctv']","['nasib', 'rizky', 'billar', 'dalam', 'kasus', 'kdtinggal', 'selang', 'lagi', 'begini', 'kata', 'polisi', 'rizkybillar', 'lestikejora', 'kdcctv']","['nasib', 'rizky', 'billar', 'kdtinggal', 'selang', 'polisi', 'rizkybillar', 'lestikejora', 'kdcctv']",nasib rizky billar kdtinggal selang polisi rizkybillar lestikejora kdcctv,Non_HS
0,  rizky billar akan diperiksa lusa akp nurma dewi ungkap statusnya akpnurmadewi kdlestikejora rizkybillar,105,rizky billar akan diperiksa lusa akp nurma dewi ungkap statusnya akpnurmadewi kdlestikejora rizkybillar,"['rizky', 'billar', 'akan', 'diperiksa', 'lusa', 'akp', 'nurma', 'dewi', 'ungkap', 'statusnya', 'akpnurmadewi', 'kdlestikejora', 'rizkybillar']","['rizky', 'billar', 'akan', 'periksa', 'lusa', 'akp', 'nurma', 'dewi', 'ungkap', 'status', 'akpnurmadewi', 'kdlestikejora', 'rizkybillar']","['rizky', 'billar', 'akan', 'periksa', 'lusa', 'akp', 'nurma', 'dewi', 'ungkap', 'status', 'akpnurmadewi', 'kdlestikejora', 'rizkybillar']","['rizky', 'billar', 'periksa', 'lusa', 'akp', 'nurma', 'dewi', 'status', 'akpnurmadewi', 'kdlestikejora', 'rizkybillar']",rizky billar periksa lusa akp nurma dewi status akpnurmadewi kdlestikejora rizkybillar,Non_HS
0,  viral curhatan close friend rizky billar bocor apakah ada kaitan dengan kdrt rizkybillar lestykejora leslar kdkdrtlesty closefriends infoviral denpasarupdate,159,viral curhatan close friend rizky billar bocor apakah ada kaitan dengan kdrt rizkybillar lestykejora leslar kdkdrtlesty closefriends infoviral denpasarupdate,"['viral', 'curhatan', 'close', 'friend', 'rizky', 'billar', 'bocor', 'apakah', 'ada', 'kaitan', 'dengan', 'kdrt', 'rizkybillar', 'lestykejora', 'leslar', 'kdkdrtlesty', 'closefriends', 'infoviral', 'denpasarupdate']","['viral', 'curhatan', 'close', 'friend', 'rizky', 'billar', 'bocor', 'apakah', 'ada', 'kait', 'dengan', 'kdrt', 'rizkybillar', 'lestykejora', 'leslar', 'kdkdrtlesty', 'closefriends', 'infoviral', 'denpasarupdate']","['viral', 'curhatan', 'close', 'friend', 'rizky', 'billar', 'bocor', 'apakah', 'ada', 'kait', 'dengan', 'kdrt', 'rizkybillar', 'lestykejora', 'leslar', 'kdkdrtlesty', 'closefriends', 'infoviral', 'denpasarupdate']","['viral', 'curhatan', 'close', 'friend', 'rizky', 'billar', 'bocor', 'kait', 'kdrt', 'rizkybillar', 'lestykejora', 'leslar', 'kdkdrtlesty', 'closefriends', 'infoviral', 'denpasarupdate']",viral curhatan close friend rizky billar bocor kait kdrt rizkybillar lestykejora leslar kdkdrtlesty closefriends infoviral denpasarupdate,Non_HS
0,  dampak kdsering kali bertahan sangat lama apalagi anak adalah pihak yang pal rentan terdampak dari pengalaman traumati kdrt merahputihcom kdtrauma anak,153,dampak kdsering kali bertahan sangat lama apalagi anak adalah pihak yang pal rentan terdampak dari pengalaman traumati kdrt merahputihcom kdtrauma anak,"['dampak', 'kdsering', 'kali', 'bertahan', 'sangat', 'lama', 'apalagi', 'anak', 'adalah', 'pihak', 'yang', 'pal', 'rentan', 'terdampak', 'dari', 'pengalaman', 'traumati', 'kdrt', 'merahputihcom', 'kdtrauma', 'anak']","['dampak', 'kdsering', 'kali', 'tahan', 'sangat', 'lama', 'apalagi', 'anak', 'adalah', 'pihak', 'yang', 'pal', 'rentan', 'dampak', 'dari', 'alam', 'traumati', 'kdrt', 'merahputihcom', 'kdtrauma', 'anak']","['dampak', 'kdsering', 'kali', 'tahan', 'sangat', 'lama', 'apalagi', 'anak', 'adalah', 'pihak', 'yang', 'pal', 'rentan', 'dampak', 'dari', 'alam', 'traumati', 'kdrt', 'merahputihcom', 'kdtrauma', 'anak']","['dampak', 'kdsering', 'kali', 'tahan', 'anak', 'pal', 'rentan', 'dampak', 'alam', 'traumati', 'kdrt', 'merahputihcom', 'kdtrauma', 'anak']",dampak kdsering kali tahan anak pal rentan dampak alam traumati kdrt merahputihcom kdtrauma anak,Non_HS
